trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,5,1,,,,catch,0,0,,0,0,21.03,,
2,1,True,1,15,0,7,0,,,,catch,0,0,,0,0,8.02,,
3,1,True,1,15,1,6,1,,,,catch,0,0,,0,0,6.65,,
4,1,True,1,15,0,11,0,,,,catch,0,0,,0,0,7.09,,
5,1,True,0,15,1,15,0,,,,catch,0,0,,0,0,3.03,,
6,1,True,0,15,1,10,0,,,,catch,0,0,,0,0,2.89,,
7,1,True,1,15,1,18,1,,,,catch,0,0,,0,0,3.02,,
8,1,True,0,15,0,6,1,,,,catch,0,0,,0,0,3.09,,
9,1,True,0,14,0,11,1,,,,catch,0,0,,0,0,2.45,,
10,1,True,0,14,1,15,0,,,,catch,0,0,,0,0,2.11,,
11,1,True,1,15,0,6,0,,,,catch,0,0,,0,0,2.82,,
12,1,True,0,15,0,16,1,,,,catch,0,0,,0,0,2.06,,
13,1,True,1,15,1,17,1,,,,catch,0,0,,0,0,2.42,,
14,1,True,0,14,0,6,1,,,,catch,0,0,,0,0,2.67,,
15,1,True,1,14,1,13,1,,,,catch,0,0,,0,0,2.4,,
16,1,True,0,13,0,3,1,,,,catch,0,0,,0,0,2.7,,
17,1,True,0,13,0,18,1,,,,catch,0,0,,0,0,2.82,,
18,1,True,1,12,1,5,1,,,,catch,0,0,,0,0,2.86,,
19,1,True,1,12,0,3,0,,,,catch,0,0,,0,0,2.31,,
20,1,True,1,13,1,13,1,,,,catch,0,0,,0,0,1.76,,
21,1,True,1,13,0,3,0,,,,catch,0,0,,0,0,2.49,,
22,1,True,1,14,1,2,1,,,,catch,0,0,,0,0,2.4,,
23,1,True,0,14,0,18,1,,,,catch,0,0,,0,0,2.22,,
24,1,True,1,13,1,15,1,,,,catch,0,0,,0,0,2.37,,
25,1,True,1,13,1,13,1,,,,catch,0,0,,0,0,2.31,,
26,1,True,1,12,1,2,1,,,,catch,0,0,,0,0,2.48,,
27,1,True,1,12,1,11,1,,,,catch,0,0,,0,0,2.26,,
28,1,True,0,11,0,23,1,,,,catch,0,0,,0,0,1.93,,
29,1,True,1,11,1,21,1,,,,catch,0,0,,0,0,1.95,,
30,1,True,1,10,0,1,0,,,,catch,0,0,,0,0,3.24,,
31,2,True,1,11,0,8,0,,,,catch,0,0,,0,0,3.62,,
32,2,True,0,12,0,5,1,,,,catch,0,0,,0,0,1.9,,
33,2,True,1,12,1,8,1,,,,catch,0,0,,0,0,1.73,,
34,2,True,0,11,0,12,1,,,,catch,0,0,,0,0,2.07,,
35,2,True,0,11,0,5,1,,,,catch,0,0,,0,0,2.89,,
36,2,True,1,10,0,19,0,,,,catch,0,0,,0,0,1.77,,
37,2,True,1,11,1,2,1,,,,catch,0,0,,0,0,1.84,,
38,2,True,1,11,1,5,1,,,,catch,0,0,,0,0,2.29,,
39,2,True,1,10,0,8,0,,,,catch,0,0,,0,0,1.84,,
40,2,True,1,11,1,24,1,,,,catch,0,0,,0,0,1.54,,
41,2,True,1,11,0,15,0,,,,catch,0,0,,0,0,2.24,,
42,2,True,0,12,0,19,1,,,,catch,0,0,,0,0,1.87,,
43,2,True,0,12,1,7,0,,,,catch,0,0,,0,0,2.28,,
44,2,True,1,13,1,7,1,,,,catch,0,0,,0,0,2.59,,
45,2,True,1,13,0,5,0,,,,catch,0,0,,0,0,2.52,,
46,2,True,0,14,0,11,1,,,,catch,0,0,,0,0,2.03,,
47,2,True,0,14,1,16,0,,,,catch,0,0,,0,0,1.72,,
48,2,True,0,15,0,9,1,,,,catch,0,0,,0,0,1.76,,
49,2,True,1,15,1,14,1,,,,catch,0,0,,0,0,1.92,,
50,2,True,0,14,0,6,1,,,,catch,0,0,,0,0,1.97,,
51,2,True,1,14,1,23,1,,,,catch,0,0,,0,0,1.78,,
52,2,True,0,13,0,24,1,,,,catch,0,0,,0,0,1.82,,
53,2,True,0,13,0,16,1,,,,catch,0,0,,0,0,2.44,,
54,2,True,1,12,1,22,1,,,,catch,0,0,,0,0,1.44,,
55,2,True,1,12,1,28,1,,,,catch,0,0,,0,0,2.82,,
56,2,True,0,11,1,8,0,,,,catch,0,0,,0,0,3.13,,
57,2,True,0,12,0,18,1,,,,catch,0,0,,0,0,2.22,,
58,2,True,1,12,1,15,1,,,,catch,0,0,,0,0,2.14,,
59,2,True,1,11,0,26,0,,,,catch,0,0,,0,0,2.37,,
60,2,True,1,12,1,24,1,,,,catch,0,0,,0,0,1.79,,
61,3,True,1,12,1,22,1,,,,catch,0,0,,0,0,1.77,,
62,3,True,0,11,0,24,1,,,,catch,0,0,,0,0,1.8,,
63,3,True,0,11,0,7,1,,,,catch,0,0,,0,0,1.83,,
64,3,True,0,10,0,27,1,,,,catch,0,0,,0,0,1.76,,
65,3,True,1,10,0,11,0,,,,catch,0,0,,0,0,1.77,,
66,3,True,0,11,0,22,1,,,,catch,0,0,,0,0,2.32,,
67,3,True,0,11,0,7,1,,,,catch,0,0,,0,0,1.83,,
68,3,True,1,10,1,31,1,,,,catch,0,0,,0,0,1.68,,
69,3,True,1,10,0,16,0,,,,catch,0,0,,0,0,4.1,,
70,3,True,1,11,1,28,1,,,,catch,0,0,,0,0,1.9,,
71,3,True,0,11,0,30,1,,,,catch,0,0,,0,0,2.25,,
72,3,True,0,10,0,26,1,,,,catch,0,0,,0,0,1.76,,
73,3,True,1,10,1,33,1,,,,catch,0,0,,0,0,1.78,,
74,3,True,0,9,0,41,1,,,,catch,0,0,,0,0,2.3,,
75,3,True,0,9,1,14,0,,,,catch,0,0,,0,0,2.01,,
76,3,True,1,10,1,20,1,,,,catch,0,0,,0,0,2.7,,
77,3,True,0,10,0,42,1,,,,catch,0,0,,0,0,2.03,,
78,3,True,0,9,0,23,1,,,,catch,0,0,,0,0,2.05,,
79,3,True,0,9,1,11,0,,,,catch,0,0,,0,0,2.85,,
80,3,True,1,10,0,12,0,,,,catch,0,0,,0,0,2.05,,
81,3,True,0,11,0,23,1,,,,catch,0,0,,0,0,1.8,,
82,3,True,0,11,0,15,1,,,,catch,0,0,,0,0,1.91,,
83,3,True,0,10,0,33,1,,,,catch,0,0,,0,0,1.91,,
84,3,True,1,10,1,21,1,,,,catch,0,0,,0,0,2.36,,
85,3,True,0,9,0,38,1,,,,catch,0,0,,0,0,1.92,,
86,3,True,0,9,0,14,1,,,,catch,0,0,,0,0,2.38,,
87,3,True,1,8,1,33,1,,,,catch,0,0,,0,0,2.16,,
88,3,True,0,8,0,38,1,,,,catch,0,0,,0,0,1.99,,
89,3,True,1,7,1,40,1,,,,catch,0,0,,0,0,2.59,,
90,3,True,1,7,0,23,0,,,,catch,0,0,,0,0,2.14,,
91,4,False,1,8,1,15,1,0,2,0,choice,2,2,0,0,0,3.03,6.07,8.49
92,4,False,0,8,1,12,0,1,14,0,choice,2,1,1,0,0,2.98,3.73,8.07
93,4,False,0,8,1,10,0,1,11,0,force,2,0,1,0,0,2.25,4.04,5.04
94,4,False,0,8,0,14,1,0,14,1,choice,1,1,0,1,0,2.15,3.56,5.53
95,4,False,0,8,1,16,0,1,11,0,force,1,0,0,1,0,7.4,9.51,10.51
96,4,False,1,8,0,17,0,0,19,0,choice,1,2,0,0,0,2.77,3.12,5.65
97,4,False,1,8,1,10,1,1,9,1,force,2,0,1,1,0,2.46,2.78,3.79
98,4,False,1,8,1,12,1,0,2,0,force,1,0,0,0,0,4.16,3.24,4.24
99,4,False,1,8,1,15,1,1,15,1,choice,1,1,0,0,0,2.31,3.2,6.76
100,4,False,0,8,1,14,0,1,13,0,choice,1,1,0,1,0,3.52,2.15,4.72
101,4,False,0,8,0,16,1,0,20,1,choice,2,1,0,1,0,1.92,1.88,3.91
102,4,False,0,8,0,9,1,0,10,1,force,2,0,0,1,0,4.07,2.24,3.25
103,4,False,1,8,1,9,1,1,12,1,choice,2,1,1,1,0,3.22,2.49,4.93
104,4,False,0,8,0,14,1,0,8,1,choice,2,1,1,0,0,4.06,2.69,5.46
105,4,False,0,8,1,17,0,1,15,0,force,1,0,1,0,0,5.81,4.0,5.0
106,4,False,1,8,0,19,0,0,20,0,choice,2,1,0,0,0,2.47,2.34,5.25
107,4,False,1,8,1,27,1,1,14,1,force,1,0,0,0,0,1.84,1.89,2.89
108,4,False,1,8,1,27,1,1,29,1,force,2,0,1,1,0,2.08,2.07,3.07
109,4,False,1,8,1,17,1,1,16,1,choice,2,1,0,0,0,2.49,1.68,6.69
110,4,False,1,8,1,22,1,1,24,1,force,1,0,1,1,0,1.97,2.35,3.35
111,4,False,0,8,0,31,1,0,31,1,choice,1,1,0,1,0,2.01,3.4,6.02
112,4,False,0,8,0,37,1,0,38,1,choice,1,2,0,1,0,2.62,1.95,3.96
113,4,False,1,8,0,11,0,0,5,0,choice,1,1,1,1,0,1.92,2.38,4.32
114,4,False,0,8,0,22,1,0,24,1,choice,1,1,0,1,0,1.93,1.93,3.97
115,4,False,0,8,0,39,1,0,41,1,force,2,0,0,1,0,1.97,2.09,3.1
116,4,False,1,8,0,7,0,0,4,0,force,2,0,1,1,0,2.36,1.98,2.98
117,4,False,0,8,0,27,1,0,30,1,choice,2,1,0,1,0,1.94,2.38,5.39
118,4,False,0,8,1,33,0,1,31,0,force,1,0,0,1,0,2.59,2.29,3.3
119,4,False,1,8,1,19,1,1,22,1,force,2,0,1,1,0,2.17,2.04,3.04
120,4,False,0,8,0,37,1,0,39,1,choice,1,2,0,1,0,1.98,2.19,4.05
121,4,False,0,8,1,12,0,0,6,1,force,1,0,0,1,0,2.16,3.58,4.58
122,4,False,0,8,0,24,1,1,3,0,choice,2,1,1,0,0,1.89,2.86,5.23
123,4,False,1,8,1,18,1,1,10,1,choice,1,1,0,0,0,2.37,1.79,4.05
124,4,False,1,8,1,18,1,1,21,1,choice,2,1,1,1,0,2.2,2.16,3.98
125,4,False,1,8,1,8,1,1,4,1,choice,2,2,0,0,0,2.05,2.15,4.25
126,4,False,1,8,0,26,0,0,30,0,choice,2,2,0,0,0,1.93,2.14,4.45
127,4,False,0,8,0,15,1,0,15,1,force,2,0,0,1,0,1.86,2.37,3.37
128,4,False,0,8,0,29,1,0,32,1,choice,2,1,0,1,0,2.27,2.03,3.78
129,4,False,1,8,1,21,1,1,23,1,choice,1,1,1,1,0,2.2,2.02,3.91
130,4,False,1,8,1,31,1,1,34,1,force,2,0,1,1,0,1.99,1.64,2.64
131,4,False,1,8,1,16,1,1,10,1,force,1,0,0,0,0,2.08,2.87,3.88
132,4,False,1,8,1,19,1,1,23,1,force,1,0,1,1,0,2.12,2.03,3.03
133,4,False,1,8,1,29,1,1,31,1,choice,1,2,1,1,0,2.21,2.85,5.04
134,4,False,0,8,0,15,1,0,18,1,choice,1,1,0,1,0,2.12,2.66,4.84
135,4,False,0,8,0,32,1,0,35,1,choice,1,2,0,1,0,1.82,1.83,3.86
136,4,False,1,8,1,18,1,1,13,1,choice,1,1,0,0,0,1.82,2.66,4.73
137,4,False,0,8,0,40,1,0,27,1,choice,2,2,1,0,0,1.99,2.88,4.8
138,4,False,0,8,0,22,1,0,25,1,choice,1,1,0,1,0,1.94,2.17,4.54
139,4,False,0,8,0,38,1,0,39,1,force,1,0,0,1,0,2.81,2.13,3.14
140,4,False,1,8,1,24,1,1,31,1,choice,1,1,1,1,0,2.73,3.61,5.76
141,4,False,0,8,0,32,1,0,24,1,choice,1,2,1,0,0,2.45,2.88,4.82
142,4,False,0,8,1,22,0,1,15,0,choice,1,1,0,1,0,2.01,2.01,3.94
143,4,False,0,8,0,9,1,0,13,1,choice,1,2,0,1,0,2.22,1.81,3.67
144,4,False,1,8,1,22,1,1,26,1,choice,1,2,1,1,0,1.68,2.1,3.9
145,4,False,0,8,0,35,1,0,39,1,choice,1,1,0,1,0,1.83,2.4,4.27
146,4,False,0,8,0,12,1,0,7,1,choice,1,2,1,0,0,2.0,2.55,4.96
147,4,False,0,8,0,20,1,0,11,1,choice,1,1,1,0,0,1.85,2.65,5.04
148,4,False,1,8,1,17,1,1,7,1,choice,1,2,0,0,0,1.79,2.13,3.88
149,4,False,1,8,1,20,1,1,23,1,force,2,0,1,1,0,1.79,2.05,3.05
150,4,False,0,8,1,11,0,1,16,0,choice,2,2,1,0,0,2.54,1.92,3.63
151,5,False,0,8,0,15,1,0,9,1,choice,1,1,1,0,0,1.75,1.77,4.18
152,5,False,1,8,1,12,1,1,6,1,choice,1,1,0,0,0,1.65,1.92,3.86
153,5,False,0,8,0,32,1,0,20,1,choice,2,2,1,0,0,1.83,2.51,4.32
154,5,False,0,8,0,14,1,0,17,1,choice,2,2,0,1,0,1.83,2.01,4.33
155,5,False,0,8,1,9,0,1,6,0,choice,1,2,0,1,0,1.93,1.61,3.76
